4,10,11,596.21,0
9,123,3,138.68,0
7,644,47,1022.91,0
4,664,19,1880.10,0
9,873,26,2288.03,0
7,723,6,321.36,0
5,736,38,1562.89,0
5,446,17,619.55,0
1,570,6,207.54,0
7,432,9,186.17,0
6,622,15,834.21,0
4,274,44,1982.90,0
5,661,26,2089.13,0
2,404,34,2646.87,0
10,690,27,1562.03,0
7,289,9,821.71,0
4,163,9,613.03,0
10,582,18,427.32,0
6,474,5,353.44,0
4,1,21,1582.39,0
10,983,36,167.70,0
8,715,26,1140.55,0
9,964,6,468.02,0
8,731,17,326.83,0
10,121,43,1584.62,0
5,948,32,525.97,0
2,9,23,2045.07,0
7,771,50,4221.35,0
7,760,8,264.58,0
9,91,25,59.46,0
8,955,35,1788.52,0
10,356,48,2416.95,0
3,475,1,32.18,0
6,779,12,815.82,0
8,878,44,693.92,0
8,215,25,204.63,0
7,352,22,475.26,0
6,166,16,1072.26,0
9,297,18,18.41,0
2,620,49,4244.90,0
1,234,44,2067.18,0
2,213,1,94.77,0
7,548,19,1055.27,0
6,192,10,526.10,0
1,276,6,588.45,0
4,17,7,154.69,0
4,683,39,502.25,0
3,95,1,35.14,0
8,147,21,1645.94,0
4,893,21,1124.49,0
7,750,19,908.62,0
2,779,34,2311.49,0
7,234,3,140.94,0
9,799,35,1107.44,0
2,781,48,1122.93,0
4,576,46,3942.94,0
8,376,40,2509.64,0
2,711,44,2677.83,0
3,776,12,714.03,0
7,174,35,3017.80,0
1,434,18,786.10,0
3,473,9,70.92,0
2,28,38,2003.94,0
3,237,43,3528.00,0
6,195,21,796.60,0
8,591,41,3229.63,0
10,268,30,1484.16,0
5,175,27,411.60,0
8,215,27,221.00,0
7,951,30,1646.84,0
9,59,36,1339.57,0
1,108,32,2242.76,0
5,632,23,2212.63,0
4,636,17,420.77,0
5,547,44,1794.30,0
10,652,18,357.32,0
8,923,44,4149.40,0
9,398,7,492.00,0
10,191,30,185.38,0
9,660,1,73.19,0
5,399,43,48.06,0
2,594,45,2618.12,0
7,939,23,1861.22,0
6,198,30,684.52,0
9,29,6,89.65,0
2,397,36,2991.24,0
8,479,6,69.70,0
3,971,15,242.21,0
8,517,39,961.38,0
5,738,28,1024.97,0
8,887,5,33.30,0
2,805,33,480.90,0
10,686,36,779.42,0
5,58,29,2514.61,0
10,774,34,2699.93,0
5,755,44,2521.98,0
3,343,36,3161.98,0
6,599,29,2348.74,0
5,663,34,973.48,0
10,526,35,1045.78,0
5,932,11,276.56,0
7,483,44,1189.48,0
7,147,45,3527.01,0
10,498,8,619.28,0
9,833,50,484.71,0
1,726,36,3188.68,0
10,283,5,485.79,0
7,76,8,413.29,0
4,552,4,45.61,0
2,717,13,376.93,0
4,604,49,1211.36,0
8,108,32,2242.76,0
5,302,34,3380.97,0
6,652,26,516.13,0
6,131,39,1427.32,0
6,591,34,2678.23,0
8,319,37,2651.35,0
6,991,4,326.79,0
5,247,24,1491.53,0
4,874,20,1914.62,0
1,875,10,780.46,0
7,93,37,2802.07,0
3,248,22,852.10,0
5,898,43,3594.09,0
5,86,16,478.73,0
8,76,33,1704.80,0
6,764,43,2120.85,0
8,738,46,1683.88,0
7,985,18,1466.05,0
9,140,39,2705.61,0
7,90,40,3835.62,0
9,728,29,2872.09,0
1,671,36,2406.46,0
6,404,3,233.55,0
5,355,22,2023.62,0
10,129,19,1011.41,0
5,547,50,2038.98,0
8,959,21,1462.85,0
2,861,30,1293.31,0
8,18,43,3349.51,0
9,995,16,1488.38,0
4,41,30,186.39,0
1,846,1,23.47,0
6,108,22,1541.90,0
4,697,6,234.48,0
1,612,21,1113.28,0
1,68,38,3318.14,0
9,739,49,4543.40,0
3,318,32,1547.85,0
3,588,25,1262.01,0
5,515,22,788.57,0
7,560,34,2436.59,0
7,749,16,1563.96,0
5,200,30,463.76,0
10,549,47,4552.32,0
4,425,13,628.16,0
2,391,19,1136.99,0
2,324,11,573.79,0
8,342,2,111.35,0
4,742,19,275.79,0
5,762,31,2411.12,0
4,983,19,88.51,0
9,551,31,2100.38,0
6,178,25,107.33,0
5,834,29,1608.28,0
7,714,42,2076.93,0
2,354,13,915.55,0
9,698,1,86.52,0
9,297,1,1.02,0
3,365,12,385.85,0
10,161,29,1853.46,0
2,328,18,738.05,0
2,915,28,1598.51,0
4,951,30,1646.84,0
8,208,32,1122.06,0
1,432,14,289.60,0
3,878,22,346.96,0
4,268,41,2028.35,0
6,510,44,1293.30,0
5,978,23,1468.77,0
4,951,46,2525.15,0
5,350,28,442.87,0
7,384,7,346.68,0
5,524,39,2312.12,0
1,717,14,405.93,0
10,763,16,908.57,0
5,277,19,1523.63,0
8,225,50,1788.16,0
7,708,1,35.37,0
10,554,5,303.32,0
9,225,50,1788.16,0
2,898,40,3343.34,0
4,813,18,996.70,0
9,232,47,2655.43,0
3,269,29,2164.42,0
3,775,42,2960.76,0
1,548,8,444.32,0
7,747,39,1460.16,0
2,892,36,3032.19,0
8,286,33,1478.88,0
10,322,4,393.72,0
6,369,34,2859.35,0
2,939,41,3317.83,0
7,1000,44,278.40,0
5,800,48,4356.91,0
6,221,6,351.18,0
3,193,36,2830.42,0
2,223,32,2170.78,0
9,450,16,570.02,0
2,666,21,1849.02,0
2,689,29,2232.91,0
2,689,33,2540.90,0
9,617,11,499.11,0
3,926,32,1443.08,0
9,606,40,3365.67,0
7,136,26,1922.49,0
1,305,21,1248.92,0
4,528,21,718.54,0
5,473,33,260.05,0
10,389,8,240.47,0
10,806,37,1957.97,0
1,328,45,1845.13,0
5,726,10,885.74,0
1,251,8,749.72,0
1,361,43,2318.57,0
4,555,50,977.14,0
8,284,31,2180.12,0
3,105,46,3617.57,0
7,514,33,2811.44,0
2,759,28,2408.23,0
3,773,48,196.83,0
4,501,19,1618.54,0
9,235,45,3077.53,0
7,962,26,2391.44,0
1,972,12,173.10,0
2,114,16,1486.19,0
5,644,15,326.46,0
9,522,34,104.11,0
7,503,33,134.93,0
4,577,4,380.41,0
4,340,2,133.02,0
2,261,21,1343.68,0
6,260,39,3557.90,0
7,260,35,3192.99,0
6,676,45,4001.03,0
5,355,24,2207.59,0
1,155,37,3306.87,0
10,285,1,93.42,0
10,500,13,1168.60,0
10,959,39,2716.72,0
10,550,39,3582.40,0
5,729,6,419.01,0
3,608,7,630.82,0
1,444,4,140.87,0
5,29,28,418.35,0
8,740,40,3722.25,0
8,853,47,2195.89,0
5,767,26,2443.67,0
2,541,43,721.10,0
5,415,42,3305.04,0
10,30,5,347.07,0
9,346,47,4352.29,0
1,1,14,1054.92,0
5,947,40,2338.01,0
1,450,6,213.76,0
4,346,32,2963.26,0
8,372,13,500.54,0
1,840,2,190.84,0
8,350,47,743.38,0
3,432,45,930.84,0
3,202,5,38.60,0
3,252,6,526.61,0
8,246,34,1440.96,0
2,323,40,1211.93,0
2,330,41,2992.82,0
10,811,29,970.53,0
4,300,22,991.73,0
6,123,42,1941.46,0
2,88,6,286.31,0
7,200,39,602.88,0
9,631,14,1226.88,0
5,780,45,2087.47,0
2,815,20,312.68,0
8,996,14,1100.44,0
10,547,35,1427.29,0
1,344,42,452.17,0
9,427,12,48.72,0
10,109,46,947.52,0
6,43,38,1415.52,0
1,300,31,1397.44,0
7,649,18,807.41,0
4,555,34,664.46,0
3,456,20,1118.51,0
8,176,9,594.51,0
8,372,25,962.58,0
4,9,29,2578.57,0
8,985,8,651.58,0
1,700,9,181.55,0
1,141,32,2766.91,0
2,318,49,2370.14,0
8,804,1,65.24,0
10,334,24,1315.02,0
4,249,24,540.50,0
6,905,37,1145.68,0
1,324,49,2555.96,0
9,435,13,1091.63,0
5,665,40,319.54,0
2,214,6,531.06,0
10,139,16,1312.82,0
6,291,37,842.09,0
7,66,43,1175.27,0
1,612,49,2597.65,0
9,869,30,1535.88,0
2,213,23,2179.61,0
10,61,48,101.33,0
8,598,4,136.98,0
10,794,37,1514.97,0
1,852,48,2613.88,0
10,800,50,4538.45,0
3,163,12,817.37,0
10,959,24,1671.83,0
1,557,14,111.36,0
